name,confederation,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,fifa_ranking,Log_MarketValue,ELO,ELO_norm,Momentum_15,Knockout_Performance,Pressure_Index
Qatar,AFC,23,28.0,1,4.3,18000000.0,56,0.1429122050088818,1593.1168143158827,0.10016840467510679,0.33073929961089493,0.7236228739415947,0.22989923820876346
Jordan,AFC,23,28.7,10,43.5,9350000.0,64,0.018153919757529113,1693.069048306615,0.33237609398198087,0.7120622568093384,0.6883634405961935,0.3695051061556436
Germany,UEFA,26,27.4,9,34.6,849500000.0,10,0.8770439374387213,1824.344654066904,0.6373538204306288,0.7392996108949416,0.782063145771481,0.9172575058690695
England,UEFA,25,26.9,4,16.0,1620000000.0,4,1.0,1851.6259896201798,0.7007334532522322,1.0,0.5927547035580948,0.46380329080924154
Portugal,UEFA,23,27.3,17,73.9,838500000.0,6,0.8745614471567724,1840.2329593028555,0.6742653180384228,0.7120622568093384,0.6792748474595852,0.6949160101581929
Spain,UEFA,27,27.4,10,37.0,1310000000.0,1,0.9595439326738973,1980.443256591045,0.9999999999999996,0.8599221789883266,0.8935875659933278,0.936413912819168
France,UEFA,26,26.7,20,76.9,1360000000.0,3,0.9666785500019079,1907.2823643058468,0.830033596380146,0.8326848249027237,0.8565574415307421,0.9095995119588149
Netherlands,UEFA,22,26.8,20,90.9,797000000.0,7,0.8648931063712979,1823.8119369013366,0.6361162190571368,0.7276264591439688,0.8994994016966834,0.7623587736245101
Scotland,UEFA,26,28.8,17,65.4,211000000.0,38,0.6117564599471459,1651.7357447793643,0.23635111764806016,0.6147859922178988,0.5147018276280256,0.30717602168103564
Turkiye,UEFA,33,27.1,13,39.4,512700012.0,25,0.7808637539688958,,,0.6342412451361867,0.5826824832453712,0.42875151483708734
Belgium,UEFA,24,27.3,20,83.3,450200012.0,9,0.7561025929010534,1725.6868296494638,0.4081532860819794,0.5992217898832685,0.9570941213427234,0.8973188282585371
Austria,UEFA,28,28.2,25,89.3,254600006.0,24,0.647533880083214,1709.0336303190672,0.36946479677380983,0.7120622568093384,0.5164794803485124,0.258408115234286
Switzerland,UEFA,26,27.9,23,88.5,308100006.0,18,0.6838627432298909,1742.5675251213781,0.4473702913746247,0.5136186770428015,0.3745607026970751,0.28693963795200683
Australia,AFC,25,27.1,21,84.0,46029999.0,27,0.3217504814967205,1786.9624393747213,0.5505079606807599,0.8832684824902722,0.6256689678009398,0.17146434395773064
Japan,AFC,28,26.4,25,89.3,265500000.0,19,0.655518682254538,1853.0607013698573,0.704066556344705,0.8560311284046692,0.7066680458059283,0.619434754088131
Argentina,CONMEBOL,28,28.4,23,82.1,712200012.0,2,0.8434657875824483,1951.1734847066698,0.9320008585657003,0.6848249027237352,1.0,1.0
Brazil,CONMEBOL,26,27.9,22,84.6,924000000.0,5,0.8930558015730932,1827.6955755289132,0.6451386362238822,0.49027237354085595,0.780965381113157,0.7861182314759725
Norway,UEFA,28,26.2,24,85.7,522900024.0,32,0.7846159354553124,1733.3973136461104,0.4260661790790983,0.9805447470817117,0.8526770089326247,0.2513329538114537
Ghana,CAF,26,26.9,25,96.2,211779999.0,72,0.6124592753489226,1561.3099578038023,0.026275142264680973,0.5564202334630349,0.3579694913765207,0.2296699391569088
Czech Republic,UEFA,25,28.0,11,44.0,171500000.0,43,0.5722763990442359,1636.6411624295672,0.2012835864028486,0.622568093385214,0.4458294518945375,0.17348111431388996
Bosnia-Herzegovina,UEFA,25,26.9,25,100.0,117800003.0,71,0.5007360696044008,,,0.6342412451361867,0.5826824832453712,0.42875151483708734
Uruguay,CONMEBOL,36,26.2,32,88.9,407329987.0,17,0.7370423787400808,1770.086461975335,0.5113019163509267,0.42023346303501946,0.6730200683821556,0.5830319053660118
Senegal,CAF,31,26.9,31,100.0,476700012.0,12,0.7669967219865779,1805.5141778170305,0.5936071105878402,0.8793774319066145,0.5558524983838747,0.3255320589615548
United States,CONCACAF,27,26.3,19,70.4,358700012.0,15,0.7128262970148604,1738.7629807919704,0.43853162502046183,0.6147859922178988,0.9032350300077362,0.5582308176135008
Canada,CONCACAF,26,26.4,23,88.5,121080002.0,29,0.5059670413039847,1742.382369997377,0.4469401414741072,0.6342412451361867,0.24777316238883573,0.22491761525554316
Croatia,UEFA,26,28.2,24,92.3,255300003.0,11,0.6480568450507667,1788.7846956831445,0.5547414020938164,0.8326848249027237,0.45588838592265024,0.481635605803424
Sweden,UEFA,26,26.3,22,84.6,377779999.0,42,0.7226976223792483,1648.7082919302068,0.22931777979736667,0.5797665369649805,0.542234884568975,0.3749150998553763
Iraq,AFC,28,26.4,15,53.6,18830000.0,58,0.15149860379364588,1693.8959292223885,0.33429709263421215,0.6459143968871595,0.6883634405961935,0.04808732786544817
Uzbekistan,AFC,14,26.3,1,7.1,8500000.0,52,0.0,1753.0164730194917,0.47164514697548965,0.6964980544747081,0.6479704499408702,0.12188410671444533
Morocco,CAF,28,25.3,25,89.3,431750000.0,8,0.7481322461889297,1873.1288102288431,0.7506885176641087,0.9221789883268483,0.4000196303670579,0.5052803366361313
Panama,CONCACAF,23,29.5,22,95.7,31200001.0,33,0.24768063960354203,1712.3307510308696,0.3771246233858334,0.7821011673151751,0.5300728640045852,0.2036692439719407
Paraguay,CONMEBOL,31,28.5,25,80.6,124800003.0,40,0.5117309108963193,1687.16621749314,0.3186627166132112,0.5836575875486382,0.0,0.031597559847500234
Iran,AFC,28,29.4,7,25.0,34049999.0,20,0.2643301551319408,1781.2374960668606,0.5372078491789556,0.696498054474708,0.7382490092408357,0.45341671831399377
South Korea,AFC,26,27.7,20,76.9,125099998.0,22,0.5121882192457763,1774.1357605517405,0.5207091924887259,0.7859922178988326,0.6225105510114034,0.521817959542397
Algeria,CAF,27,25.8,25,92.6,236550003.0,28,0.6335276930641118,1773.875031113842,0.5201034693558708,0.8249027237354085,0.25902798786898895,0.428298010626159
Tunisia,CAF,30,25.3,21,70.0,69650002.0,47,0.4006419674578594,1679.6278050489727,0.3011495779387463,0.6420233463035019,0.4630948388457644,0.6983591479682261
Egypt,CAF,28,29.1,6,21.4,134250000.0,31,0.5256337017490358,1719.0791654767395,0.39280244930722175,0.5330739299610894,0.2932769698775701,0.4534600584094862
South Africa,CAF,28,26.5,9,32.1,46349998.0,60,0.3230700549561285,1627.8011932034958,0.1807466884709803,0.649805447470817,0.48735453440802845,0.32242048925495903
Saudi Arabia,AFC,25,27.4,1,4.0,29049999.0,61,0.23408099966967244,1640.3544237447961,0.2099101852828884,0.5175097276264591,0.41070205094435985,0.3383165873504089
Colombia,CONMEBOL,26,29.6,25,96.2,301000000.0,14,0.6794220481983557,1820.8396616585464,0.6292110690814368,0.4980544747081712,0.785445050730936,0.6397594893514242
Ecuador,CONMEBOL,28,25.4,26,92.9,366079987.0,23,0.7167053424488179,1786.6035448578357,0.5496741817531308,0.6070038910505837,0.12121228285291252,0.20797809337864498
Mexico,CONCACAF,21,26.1,0,,101800003.0,16,0.4729313152976058,1783.226938600948,0.541829695388937,0.8171206225680934,0.8528136685176287,0.7855717743397981
New Zealand,OFC,23,27.4,15,65.2,21600000.0,85,0.17763935715802193,1615.0716018609912,0.15117347261131409,0.6848249027237352,0.2932769698775701,0.12453557358519363
Haiti,CONCACAF,23,26.0,15,65.0,30000000.0,83,0.24021018556222629,1609.1,0.13730032726740937,0.5953307392996108,0.37251971247851834,0.07938339804756345
Cape Verde,CAF,23,26.0,15,65.0,45000000.0,73,0.3174399387371927,1601.7,0.12010874652665082,0.5136186770428016,0.5826824832453712,0.0
Ivory Coast,CAF,23,26.0,15,65.0,280000000.0,48,0.6656469862624026,1714.5,0.3821641934938893,0.7081712062256807,0.4630948388457644,0.3846986229759468
DR Congo,CAF,23,26.0,15,65.0,60000000.0,62,0.3722353210865177,1668.0,0.27413601721750114,0.708171206225681,0.5826824832453712,0.1319232771004979
Curacao,CONCACAF,23,26.0,10,43.0,50000000.0,97,0.33750816780865467,1550.0,0.0,0.6342412451361867,0.5826824832453712,0.42875151483708734
