home_team,away_team,tournament,date,diff_ELO,diff_MV,diff_Momentum,diff_Knockout,diff_Pressure,resultado
Singapore,Iran,AFC Asian Cup qualification,2010-01-06,-0.369491174901319,-0.2912540286521441,-0.015158884565499187,-0.1555665259954644,-0.024665203476906317,-1
Thailand,Jordan,AFC Asian Cup qualification,2010-01-06,-0.1125045745333626,-0.018419100611793304,-0.030723086900129593,-0.10568095735082217,0.059246408681443874,0
Egypt,Nigeria,African Cup of Nations,2010-01-12,-0.014723066998356238,-0.0719484818377012,-0.14826523994811946,-0.2894055133678012,0.024708543572398767,1
Ivory Coast,Ghana,African Cup of Nations,2010-01-15,0.16031188484161252,0.03744495595659014,0.15175097276264582,0.10512534746924374,0.155028683819038,1
Finland,South Korea,Friendly,2010-01-18,-0.3128480478816329,-0.11901371504387637,-0.10465304798962372,-0.039828067766032094,-0.0930664447053095,-1
Chile,Panama,Friendly,2010-01-20,-0.09646876225638823,0.13296723312600944,-0.10076199740596625,0.05260961924078611,0.22508227086514676,1
Oman,Sweden,Friendly,2010-01-20,-0.052024954735160556,-0.5532798436787956,0.10157263294422836,0.04044759867639636,0.053836414981711156,-1
Latvia,South Korea,Friendly,2010-01-22,-0.5045074567626482,-0.2603489176629221,-0.10465304798962372,-0.039828067766032094,-0.0930664447053095,-1
United States,Honduras,Friendly,2010-01-23,0.13453130054851492,0.41998820151524807,-0.06655317769131008,0.3205525467623649,0.12947930277641334,-1
Ivory Coast,Algeria,African Cup of Nations,2010-01-24,-0.06262068242855445,0.02261247003322353,-0.11673151750972777,0.20406685097677546,-0.04359938765021221,-1
Argentina,Costa Rica,Friendly,2010-01-26,0.30373569096238695,0.38568921547912627,0.0034857328145263544,0.4173175167546287,0.5712484851629125,1
Algeria,Egypt,African Cup of Nations,2010-01-28,0.05746843925037903,0.07595900788709775,0.29182879377431914,-0.034248982008581175,-0.0251620477833272,-1
Ghana,Nigeria,African Cup of Nations,2010-01-28,-0.18018719501814418,-0.010821959873970055,-0.12491893644617391,-0.22471299186885063,-0.19908157568017865,1
Nigeria,Algeria,African Cup of Nations,2010-01-30,-0.042745372252022795,-0.004010526049396557,-0.14356355382619967,0.32365449537638236,0.00045350421092843485,1
Ghana,Egypt,African Cup of Nations,2010-01-31,-0.16546412801978794,0.06112652196373114,0.023346303501945553,0.06469252149895055,-0.2237901192525774,-1
Jamaica,Canada,Friendly,2010-01-31,-0.13138580428926772,-0.1214435891511525,0.047097924773022104,0.3349093208565356,0.2038338995815443,1
Japan,Venezuela,Friendly,2010-02-02,0.20111179562549863,0.17545376226768683,0.17469195849546038,0.12398556256055704,0.19068323925104352,0
South Korea,Hong Kong,EAFF Championship,2010-02-07,0.3530192012104034,0.4657498686653678,0.10465304798962372,0.039828067766032094,0.0930664447053095,1
Argentina,Jamaica,Friendly,2010-02-10,0.3503603446524992,0.35904783029548204,0.0034857328145263544,0.4173175167546287,0.5712484851629125,1
Japan,Hong Kong,EAFF Championship,2010-02-11,0.43579356956848936,0.5666566906064587,0.17469195849546038,0.12398556256055704,0.19068323925104352,1
Japan,South Korea,EAFF Championship,2010-02-14,0.08277436835808594,0.10090682194109091,0.07003891050583666,0.08415749479452495,0.09761679454573402,-1
Mexico,Bolivia,Friendly,2010-02-24,0.2421056895971001,0.22650732701212783,0.13578145265888453,0.27013118527225743,0.3568202595027106,1
United States,El Salvador,Friendly,2010-02-24,0.2643106796272898,0.4949229177672789,-0.06655317769131008,0.3205525467623649,0.12947930277641334,1
Jordan,Azerbaijan,Friendly,2010-02-25,0.3486267270105916,-0.10559788140025983,0.030723086900129593,0.10568095735082217,-0.059246408681443874,-1
Republic of Ireland,Brazil,Friendly,2010-03-02,-0.24611499524004699,-0.21629037098706716,0.1910667963683529,-0.19828289786778575,-0.35736671663888503,-1
Algeria,Serbia,Friendly,2010-03-03,0.10484478380417772,-0.020828680233786034,0.14356355382619967,-0.32365449537638236,-0.00045350421092843485,-1
Australia,Indonesia,AFC Asian Cup qualification,2010-03-03,0.3002084028874501,0.026414640878182905,0.2019293125810634,0.04298648455556853,-0.2572871708793568,1
Austria,Denmark,Friendly,2010-03-03,-0.024788338792133935,-0.04343845548166758,0.030723086900129593,-0.06620300289685888,-0.17034339960280148,1
Belgium,Croatia,Friendly,2010-03-03,-0.06617535536348695,0.07606584679179074,-0.2334630350194552,0.5012057354200732,0.41568322245511313,-1
